,material_id,formula,structure,diff,exp,mp,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,avg anion electron affinity,band center,cohesive energy,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,transition metal fraction,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta
0,mp-1883,SnTe,"Full Formula (Sn1 Te1)
Reduced Formula: SnTe
abc   :   4.537670   4.537670   4.537670
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Sn    0    0    0
  1  Te    0.5  0.5  0.5",-0.01959,-0.31439,-0.2948,Sn1 Te1,50.0,52.0,2.0,51.0,1.0,50.0,80.0,90.0,10.0,85.0,5.0,80.0,118.71,127.6,8.89,123.155,4.445,118.71,505.08,722.66,217.57999999999998,613.87,108.78999999999999,505.08,14.0,16.0,2.0,15.0,1.0,14.0,5.0,5.0,0.0,5.0,0.0,5.0,138.0,139.0,1.0,138.5,0.5,138.0,1.96,2.1,0.14000000000000012,2.0300000000000002,0.07000000000000006,1.96,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,2.0,15.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,33.285,34.7633333333,1.4783333333000002,34.02416666665,0.7391666666500001,33.285,0.0,0.464,0.464,0.232,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,152.0,11.0,146.5,5.5,141.0,Sn2+1 Te2-1,-2,2,4,2.8284271247461903,-380400.0,-2.0287927444665215,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,0.0,0.13333333333333333,0.2,0.6666666666666666,0.0,3537625.7873979933,0.050847457627118675
1,mp-1358,DyIr2,"Full Formula (Dy2 Ir4)
Reduced Formula: DyIr2
abc   :   5.361697   5.361697   5.361697
angles:  60.000000  60.000000  60.000000
Sites (6)
  #  SP        a      b      c
---  ----  -----  -----  -----
  0  Dy    0.75   0.75   0.75
  1  Dy    0.5    0.5    0.5
  2  Ir    0.125  0.625  0.125
  3  Ir    0.125  0.125  0.625
  4  Ir    0.625  0.125  0.125
  5  Ir    0.125  0.125  0.125",0.08806699999999999,-0.7245,-0.812567,Dy1 Ir2,66.0,77.0,11.0,73.33333333333333,4.88888888888889,77.0,31.0,60.0,29.0,50.333333333333336,12.888888888888888,60.0,162.5,192.217,29.717000000000013,182.31133333333332,13.207555555555567,192.217,1685.0,2739.0,1054.0,2387.6666666666665,468.4444444444445,2739.0,3.0,9.0,6.0,7.0,2.6666666666666665,9.0,6.0,6.0,0.0,6.0,0.0,6.0,141.0,192.0,51.0,158.0,22.666666666666668,141.0,1.22,2.2,0.9800000000000002,1.8733333333333333,0.4355555555555557,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.666666666666667,3.1111111111111107,7.0,10.0,14.0,4.0,12.666666666666666,1.777777777777778,14.0,12.0,23.0,11.0,19.333333333333332,4.888888888888889,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,14.21,31.24,17.029999999999998,19.886666666666667,7.568888888888888,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,214.66666666666666,13.77777777777778,225.0,Dy0+1 Ir0+2,0,0,0,0.0,0.0,-1.8074587619490474,0.0,-0.758534631270985,-0.5884252677572811,-0.33279409711967495,0.6666666666666666,2.0,0.0,4.666666666666667,12.666666666666666,0.10344827586206898,0.0,0.24137931034482762,0.6551724137931034,0.25845302802299736,0.12338776047550493
2,mp-131,Zr,"Full Formula (Zr2)
Reduced Formula: Zr
abc   :   3.239232   3.239232   5.172220
angles:  90.000000  90.000000 119.999996
Sites (2)
  #  SP           a         b     c
---  ----  --------  --------  ----
  0  Zr    0.333333  0.666667  0.25
  1  Zr    0.666667  0.333333  0.75",0.0,0.0,0.0,Zr1,40.0,40.0,0.0,40.0,0.0,40.0,44.0,44.0,0.0,44.0,0.0,44.0,91.224,91.224,0.0,91.224,0.0,91.224,2128.0,2128.0,0.0,2128.0,0.0,2128.0,4.0,4.0,0.0,4.0,0.0,4.0,5.0,5.0,0.0,5.0,0.0,5.0,175.0,175.0,0.0,175.0,0.0,175.0,1.33,1.33,0.0,1.33,0.0,1.33,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,23.195,23.195,0.0,23.195,0.0,23.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,Zr0+1,0,0,0,0.0,0.0,-1.33,0.0,0.0,0.0770842812324779,0.0,0.0,2.0,0.0,2.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
3,mp-7187,TiAlNi2,"Full Formula (Ti1 Al1 Ni2)
Reduced Formula: TiAlNi2
abc   :   4.163876   4.163876   4.163876
angles:  60.000000  60.000000  60.000000
Sites (4)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ti    0.5   0.5   0.5
  1  Al    0     0     0
  2  Ni    0.25  0.25  0.25
  3  Ni    0.75  0.75  0.75",-0.126775,-0.7473,-0.620525,Ti1 Al1 Ni2,13.0,28.0,15.0,22.75,5.25,28.0,43.0,73.0,30.0,59.5,8.25,61.0,26.9815386,58.6934,31.711861399999997,48.058834649999994,10.634565349999999,58.6934,933.47,1941.0,1007.53,1582.6175,324.57374999999996,1728.0,4.0,13.0,9.0,9.25,2.625,10.0,3.0,4.0,1.0,3.75,0.375,4.0,121.0,160.0,39.0,132.25,13.875,124.0,1.54,1.91,0.3699999999999999,1.7425000000000002,0.16749999999999993,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,8.0,8.0,4.5,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.75,3.25,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,3.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.25,2.25,2.0,10.32,16.69,6.370000000000001,13.4525,3.1325000000000003,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.29770298333333334,0.2976917166666667,0.5953947,194.0,225.0,31.0,217.25,11.625,225.0,Ti0+1 Al0+1 Ni0+2,0,0,0,0.0,0.0,-1.7342165754307077,0.0,-0.9999191456291308,-0.8262256057251116,-0.6866992721154671,0.75,2.0,0.25,4.5,0.0,0.2962962962962963,0.037037037037037035,0.6666666666666666,0.0,0.38001453073583336,0.05800418934273985
4,mp-21446,BaPb3,"Full Formula (Ba3 Pb9)
Reduced Formula: BaPb3
abc   :   9.758404   9.758404   9.758403
angles:  44.817074  44.817074  44.817077
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ba    0.782623  0.782623  0.782623
  1  Ba    0.217377  0.217377  0.217377
  2  Ba    0         0         0
  3  Pb    0.297887  0.734221  0.297887
  4  Pb    0.734221  0.297887  0.297887
  5  Pb    0.297887  0.297887  0.734221
  6  Pb    0.5       0.5       0
  7  Pb    0.5       0         0.5
  8  Pb    0         0.5       0.5
  9  Pb    0.702113  0.265779  0.702113
 10  Pb    0.702113  0.702113  0.265779
 11  Pb    0.265779  0.702113  0.702113",-0.082704,-0.455323,-0.372619,Ba1 Pb3,56.0,82.0,26.0,75.5,9.75,82.0,9.0,81.0,72.0,63.0,27.0,81.0,137.327,207.2,69.87299999999999,189.73174999999998,26.202375000000004,207.2,600.61,1000.0,399.39,700.4575,149.77124999999998,600.61,2.0,14.0,12.0,11.0,4.5,14.0,6.0,6.0,0.0,6.0,0.0,6.0,146.0,215.0,69.0,163.25,25.875,146.0,0.89,2.33,1.44,1.97,0.54,2.33,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.5,0.75,2.0,0.0,10.0,10.0,7.5,3.75,10.0,0.0,14.0,14.0,10.5,5.25,14.0,2.0,28.0,26.0,21.5,9.75,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.5,4.0,28.11,63.59,35.480000000000004,36.980000000000004,13.305000000000003,28.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,226.0,1.5,225.0,Ba0+1 Pb0+3,0,0,0,0.0,0.0,-1.8317425861191332,0.0,-0.48989942966330097,-0.42348466563192855,-0.3218774812216998,0.0,2.0,1.5,7.5,10.5,0.09302325581395349,0.06976744186046512,0.3488372093023256,0.4883720930232558,0.07042617211907623,0.11392012022936242
5,mp-924130,TiNiSn,"Full Formula (Ti1 Ni1 Sn1)
Reduced Formula: TiNiSn
abc   :   4.182552   4.182552   4.182552
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ti    0.5   0.5   0.5
  1  Ni    0.25  0.25  0.25
  2  Sn    0     0     0",-0.017181000000000002,-0.5452,-0.5280189999999999,Ti1 Ni1 Sn1,22.0,50.0,28.0,33.333333333333336,11.111111111111112,22.0,43.0,80.0,37.0,61.333333333333336,12.444444444444445,43.0,47.867,118.71,70.84299999999999,75.09013333333333,29.079911111111112,47.867,505.08,1941.0,1435.92,1391.36,590.8533333333334,505.08,4.0,14.0,10.0,9.333333333333334,3.5555555555555554,4.0,4.0,5.0,1.0,4.333333333333333,0.44444444444444436,4.0,124.0,160.0,36.0,141.0,12.666666666666666,124.0,1.54,1.96,0.41999999999999993,1.8033333333333335,0.17555555555555546,1.54,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,2.0,10.0,8.0,6.666666666666667,3.1111111111111107,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,10.0,9.333333333333334,3.5555555555555554,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,8.0,8.0,3.3333333333333335,3.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.666666666666667,2.2222222222222223,2.0,10.32,33.285,22.964999999999996,20.098333333333333,8.791111111111109,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.19847241111111114,0.26461485925925926,0.0,141.0,225.0,84.0,186.66666666666666,30.444444444444446,141.0,Ti0+1 Ni0+1 Sn0+1,0,0,0,0.0,0.0,-1.7930953589718723,0.0,-0.8556589434652779,-0.7015082044516614,-0.48072772513874185,0.6666666666666666,2.0,0.6666666666666666,6.666666666666667,0.0,0.21428571428571427,0.07142857142857142,0.7142857142857143,0.0,0.4765684133472721,0.08411558805984488
6,mp-2802,HfRu,"Full Formula (Hf1 Ru1)
Reduced Formula: HfRu
abc   :   3.244216   3.244216   3.244216
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Hf    0    0    0
  1  Ru    0.5  0.5  0.5",-0.11826099999999999,-0.9514,-0.833139,Hf1 Ru1,44.0,72.0,28.0,58.0,14.0,44.0,45.0,56.0,11.0,50.5,5.5,45.0,101.07,178.49,77.42000000000002,139.78,38.71000000000001,101.07,2506.0,2607.0,101.0,2556.5,50.5,2506.0,4.0,8.0,4.0,6.0,2.0,4.0,5.0,6.0,1.0,5.5,0.5,5.0,146.0,175.0,29.0,160.5,14.5,146.0,1.3,2.2,0.9000000000000001,1.75,0.45000000000000007,1.3,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.5,2.5,2.0,0.0,14.0,14.0,7.0,7.0,0.0,8.0,18.0,10.0,13.0,5.0,8.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.5,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.0,2.0,4.0,13.51,22.2,8.69,17.855,4.345,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,Hf0+1 Ru0+1,0,0,0,0.0,0.0,-1.6911534525287764,0.0,-0.7949546351313892,-0.6046602378846991,-0.405558948355457,0.5,1.5,0.0,4.5,7.0,0.11538461538461539,0.0,0.34615384615384615,0.5384615384615384,0.2833204576477283,0.08219178082191786
7,mp-1495,ErIr2,"Full Formula (Er2 Ir4)
Reduced Formula: ErIr2
abc   :   5.342342   5.342342   5.342342
angles:  60.000000  60.000000  60.000000
Sites (6)
  #  SP        a      b      c
---  ----  -----  -----  -----
  0  Er    0.25   0.25   0.25
  1  Er    0      0      0
  2  Ir    0.625  0.125  0.625
  3  Ir    0.625  0.625  0.125
  4  Ir    0.125  0.625  0.625
  5  Ir    0.625  0.625  0.625",0.037012,-0.7866,-0.8236120000000001,Er1 Ir2,68.0,77.0,9.0,74.0,4.0,77.0,35.0,60.0,25.0,51.666666666666664,11.111111111111112,60.0,167.259,192.217,24.958000000000027,183.89766666666665,11.092444444444462,192.217,1770.0,2739.0,969.0,2416.0,430.6666666666667,2739.0,3.0,9.0,6.0,7.0,2.6666666666666665,9.0,6.0,6.0,0.0,6.0,0.0,6.0,141.0,189.0,48.0,157.0,21.333333333333332,141.0,1.24,2.2,0.9600000000000002,1.8800000000000001,0.42666666666666675,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.666666666666667,3.1111111111111107,7.0,12.0,14.0,2.0,13.333333333333334,0.8888888888888887,14.0,14.0,23.0,9.0,20.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,2.0,3.0,1.0,2.6666666666666665,0.4444444444444445,3.0,14.21,30.585,16.375,19.668333333333333,7.277777777777778,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,214.66666666666666,13.77777777777778,225.0,Er0+1 Ir0+2,0,0,0,0.0,0.0,-1.8172821003072441,0.0,-0.7713343070975697,-0.5990840638968813,-0.33681103982014954,0.6666666666666666,2.0,0.0,4.666666666666667,13.333333333333334,0.1,0.0,0.23333333333333334,0.6666666666666667,0.2568499708100349,0.12338776047550493
8,mp-1757,DyFe2,"Full Formula (Dy2 Fe4)
Reduced Formula: DyFe2
abc   :   5.136735   5.136735   5.136735
angles:  60.000000  60.000000  60.000000
Sites (6)
  #  SP        a      b      c
---  ----  -----  -----  -----
  0  Dy    0      0      0
  1  Dy    0.25   0.25   0.25
  2  Fe    0.625  0.625  0.625
  3  Fe    0.125  0.625  0.625
  4  Fe    0.625  0.125  0.625
  5  Fe    0.625  0.625  0.125",0.065691,-0.0166,-0.082291,Dy1 Fe2,26.0,66.0,40.0,39.333333333333336,17.77777777777778,26.0,31.0,55.0,24.0,47.0,10.666666666666666,55.0,55.845,162.5,106.655,91.39666666666666,47.402222222222214,55.845,1685.0,1811.0,126.0,1769.0,56.0,1811.0,3.0,8.0,5.0,6.333333333333333,2.2222222222222223,8.0,4.0,6.0,2.0,4.666666666666667,0.888888888888889,4.0,132.0,192.0,60.0,152.0,26.666666666666668,132.0,1.22,1.83,0.6100000000000001,1.6266666666666667,0.27111111111111114,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,2.6666666666666665,6.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,8.0,12.0,4.0,9.333333333333334,1.777777777777778,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,31.24,20.509999999999998,17.566666666666666,9.115555555555554,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.4071085333333333,0.9380723555555557,2.1106628,194.0,229.0,35.0,217.33333333333334,15.555555555555552,229.0,Dy0+1 Fe0+2,0,0,0,0.0,0.0,-1.598652250467427,0.0,-0.04416574435714778,0.025193307660394845,0.0860460779189347,0.6666666666666666,2.0,0.0,4.0,3.3333333333333335,0.21428571428571427,0.0,0.42857142857142855,0.35714285714285715,3.5105664332678392,0.16637806616154058
9,mp-569655,BN,"Full Formula (B4 N4)
Reduced Formula: BN
abc   :   4.938593   3.927050   4.941504
angles:  68.042060  90.000000  90.000000
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  B     0.642237  0.499729  0.642029
  1  B     0.357763  0.500271  0.357971
  2  B     0.142237  0.500271  0.857971
  3  B     0.857763  0.499729  0.142029
  4  N     0.656547  0.498966  0.343559
  5  N     0.843453  0.498966  0.843559
  6  N     0.343453  0.501034  0.656441
  7  N     0.156547  0.501034  0.156441",0.17213299999999998,-1.300716,-1.472849,B1 N1,5.0,7.0,2.0,6.0,1.0,5.0,72.0,82.0,10.0,77.0,5.0,72.0,10.811,14.0067,3.1957000000000004,12.408850000000001,1.5978500000000002,10.811,63.05,2348.0,2284.95,1205.525,1142.475,63.05,13.0,15.0,2.0,14.0,1.0,13.0,2.0,2.0,0.0,2.0,0.0,2.0,71.0,84.0,13.0,77.5,6.5,71.0,2.04,3.04,1.0,2.54,0.5,2.04,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,7.1725,14.76875,7.59625,10.970625,3.798125,7.1725,1.524,6.437,4.913,3.9805,2.4565,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,194.0,28.0,180.0,14.0,166.0,B3+1 N3-1,-3,3,6,4.242640687119285,-21000.0,-2.4903011866037406,0.0,1.3265676114068126,1.422840439394544,1.469796849055411,0.0,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.2481153715277645,0.10000000000000003
